src_port,dst_port,protocol,flow_duration,total_pkts,total_bytes,packet_rate,byte_rate,fwd_pkts,fwd_bytes,avg_pkt_size,min_pkt_size,max_pkt_size,tcp_flags,iat_mean,Label
25500,80,TCP,4982.71,4825,229410,968.35,46041.21,4825,229410,47.55,40,120,2,1.15,DDoS
53,80,TCP,730.38,22,17815,30.12,24391.02,10,8097,809.79,52,1095,18,33.2,BENIGN
28277,80,TCP,3546.23,3012,203558,849.35,57401.18,3012,203558,67.58,40,120,2,0.75,DDoS
80,53,TCP,264.41,32,26378,121.02,99757.15,15,12364,824.31,44,1213,24,8.26,BENIGN
54895,22,TCP,2011.98,42,13554,20.87,6736.61,17,5486,322.73,61,463,24,47.9,BENIGN
53,21,TCP,1694.15,41,15943,24.2,9410.55,24,9332,388.86,71,524,24,41.32,BENIGN
18600,21,TCP,872.9,26,7314,29.79,8378.97,13,3657,281.31,50,500,24,7.22,BruteForce
443,443,TCP,324.45,15,3999,46.23,12325.03,8,2133,266.64,71,398,24,21.63,BENIGN
443,53,TCP,166.64,24,24554,144.01,147338.74,12,12277,1023.09,55,1405,18,6.94,BENIGN
60135,22,TCP,1489.84,84,20041,56.38,13451.79,42,10020,238.59,50,500,24,11.06,BruteForce
8080,53,UDP,296.25,20,5640,67.51,19037.04,9,2538,282.05,67,398,16,14.81,BENIGN
8080,22,UDP,266.81,46,10201,172.4,38231.62,27,5987,221.77,56,312,18,5.8,BENIGN
51965,17,TCP,14.98,1,44,66.71,2935.25,1,44,44.52,40,60,2,14.98,PortScan
28221,443,TCP,2589.07,3390,313705,1309.35,121164.97,3390,313705,92.54,40,120,2,1.09,DDoS
30918,443,TCP,2797.53,1158,125524,413.94,44869.61,1158,125524,108.4,40,120,2,1.34,DDoS
53,22,TCP,477.87,33,24384,69.05,51025.23,14,10344,738.93,92,1146,18,14.48,BENIGN
61634,22,TCP,969.45,96,17124,99.03,17663.65,48,8562,178.39,50,500,24,23.35,BruteForce
443,80,UDP,133.87,32,34540,239.03,257998.73,14,15111,1079.39,72,1717,18,4.18,BENIGN
443,80,TCP,152.14,10,6513,65.73,42806.69,6,3908,651.36,78,964,2,15.21,BENIGN
46122,865,TCP,5.61,1,47,177.82,8357.74,1,47,47.13,40,60,1,5.61,PortScan
80,443,TCP,549.29,47,40740,85.56,74166.74,22,19069,866.81,46,1165,16,11.69,BENIGN
56235,443,TCP,1284.1,3716,279962,2893.87,218022.76,3716,279962,75.34,40,120,2,1.48,DDoS
80,8080,UDP,296.99,40,37598,134.68,126593.53,23,21619,939.96,52,1375,16,7.42,BENIGN
21020,80,TCP,1264.46,1788,121149,1414.04,95810.52,1788,121149,67.76,40,120,2,0.65,DDoS
18051,3389,TCP,1137.84,23,6626,20.21,5823.32,11,3313,288.09,50,500,24,16.9,BruteForce
7611,80,TCP,1026.55,4643,336823,4522.9,328110.75,4643,336823,72.54,40,120,2,0.56,DDoS
443,443,UDP,2195.42,17,6497,7.74,2959.33,11,4204,382.23,62,508,16,129.14,BENIGN
443,80,TCP,3820.29,31,30356,8.11,7945.97,16,15667,979.24,46,1423,16,123.24,BENIGN
443,21,TCP,1546.35,30,13328,19.4,8618.98,13,5775,444.29,60,710,2,51.54,BENIGN
8080,21,TCP,198.22,26,14989,131.16,75615.29,15,8647,576.5,46,755,24,7.62,BENIGN
48620,22,UDP,3900.02,39,20836,10.0,5342.53,18,9616,534.27,78,747,2,100.0,BENIGN
31975,22,TCP,326.66,86,33707,263.27,103186.11,43,16853,391.95,50,500,24,16.0,BruteForce
50673,80,TCP,3686.55,3909,209743,1060.34,56894.14,3909,209743,53.66,40,120,2,0.14,DDoS
12729,80,TCP,1662.04,1490,130780,896.49,78686.45,1490,130780,87.77,40,120,2,1.02,DDoS
38877,8080,UDP,1396.31,20,21661,14.32,15512.87,12,12996,1083.07,91,1404,24,69.82,BENIGN
80,8080,TCP,2227.11,26,7003,11.67,3144.42,13,3501,269.37,91,346,16,85.66,BENIGN
5842,22,TCP,1199.83,92,26958,76.68,22468.15,46,13479,293.03,50,500,24,8.62,BruteForce
36761,8080,TCP,707.89,5,1748,7.06,2469.27,3,1048,349.66,44,503,24,141.58,BENIGN
443,80,UDP,1198.11,5,1109,4.17,925.62,3,665,221.96,41,344,18,239.62,BENIGN
21701,22,TCP,180.85,17,13929,93.99,77014.22,9,7374,819.39,68,1208,24,10.64,BENIGN
53,8080,TCP,2615.86,24,5928,9.17,2266.16,12,2964,247.03,55,368,24,108.99,BENIGN
80,22,UDP,142.97,10,5810,69.94,40634.76,5,2905,581.06,57,700,16,14.3,BENIGN
8080,80,TCP,375.28,10,3185,26.65,8486.8,5,1592,318.52,87,505,2,37.53,BENIGN
6392,4622,TCP,43.02,1,48,23.24,1115.53,1,48,48.35,40,60,1,43.02,PortScan
8080,53,TCP,423.39,37,30836,87.39,72829.5,18,15001,833.41,73,1150,2,11.44,BENIGN
44516,22,TCP,329.54,55,15125,166.9,45897.09,27,7562,275.01,50,500,24,18.5,BruteForce
21816,21,TCP,1067.65,19,20590,17.8,19285.23,10,10837,1083.72,54,1371,18,56.19,BENIGN
45606,21,TCP,1348.16,34,29867,25.22,22153.79,14,12298,878.45,56,1236,18,39.65,BENIGN
16396,80,TCP,216.56,7,5826,32.32,26900.76,4,3329,832.29,46,1259,2,30.94,BENIGN
443,443,TCP,925.06,36,35794,38.92,38693.47,15,14914,994.28,89,1335,16,25.7,BENIGN
80,80,TCP,349.1,31,26725,88.8,76552.8,19,16379,862.1,95,1256,18,11.26,BENIGN
33503,8080,TCP,1717.74,28,11603,16.3,6754.76,14,5801,414.41,72,579,18,61.35,BENIGN
45449,80,TCP,1079.41,38,21711,35.2,20113.53,19,10855,571.36,86,763,24,28.41,BENIGN
53,22,UDP,192.59,5,3591,25.96,18644.59,3,2155,718.4,40,1142,24,38.52,BENIGN
46536,22,TCP,992.38,43,15082,43.33,15197.84,21,7541,350.75,50,500,24,15.81,BruteForce
48139,22,TCP,452.33,45,15263,99.48,33742.82,22,7631,339.19,50,500,24,18.61,BruteForce
443,80,TCP,1446.87,33,11262,22.81,7783.62,16,5460,341.28,40,528,2,43.84,BENIGN
19165,22,TCP,322.37,16,4308,49.63,13362.99,8,2154,269.28,49,423,18,20.15,BENIGN
80,80,TCP,326.33,39,29386,119.51,90046.19,22,16577,753.51,78,1064,24,8.37,BENIGN
42473,9375,TCP,34.67,1,50,28.83,1441.59,1,50,50.14,40,60,1,34.67,PortScan
31744,21,TCP,1435.17,91,20397,63.41,14212.3,45,10198,224.15,50,500,24,6.54,BruteForce
23547,80,TCP,4695.45,3392,315230,722.4,67135.17,3392,315230,92.93,40,120,2,0.3,DDoS
80,80,TCP,1317.67,31,17008,23.53,12907.54,18,9875,548.65,64,675,18,42.51,BENIGN
10383,80,TCP,3790.92,1596,132232,421.01,34881.2,1596,132232,82.85,40,120,2,1.27,DDoS
24800,1372,TCP,13.78,1,44,72.54,3191.78,1,44,44.21,40,60,0,13.78,PortScan
2460,3389,TCP,481.73,78,18945,161.91,39326.63,39,9472,242.89,50,500,24,17.29,BruteForce
2144,22,TCP,235.36,7,4990,29.74,21200.66,4,2851,712.9,92,953,24,33.62,BENIGN
10042,80,TCP,3079.5,4408,238075,1431.4,77309.52,4408,238075,54.01,40,120,2,1.04,DDoS
3604,21,TCP,915.81,64,17410,69.88,19010.49,32,8705,272.04,50,500,24,7.66,BruteForce
32246,3793,TCP,15.42,2,91,129.65,5898.98,2,91,45.55,40,60,2,7.71,PortScan
53,80,TCP,1978.55,38,13217,19.21,6680.11,22,7652,347.84,79,490,2,52.07,BENIGN
80,21,TCP,1696.83,11,10607,6.48,6251.03,6,5785,964.3,74,1193,16,154.26,BENIGN
8080,8080,TCP,3566.79,43,46719,12.06,13098.31,24,26075,1086.49,41,1332,24,82.95,BENIGN
6018,80,TCP,840.65,2604,271552,3097.61,323026.7,2604,271552,104.28,40,120,2,1.36,DDoS
41412,3389,TCP,1245.29,72,20221,57.82,16237.98,36,10110,280.85,50,500,24,9.54,BruteForce
80,22,TCP,2879.21,21,18352,7.29,6373.95,12,10487,873.94,77,1171,18,137.11,BENIGN
61437,53,TCP,2393.81,41,28155,17.13,11761.53,23,15794,686.71,58,953,16,58.39,BENIGN
53,443,UDP,105.14,32,20268,304.32,192750.87,17,10767,633.39,45,768,16,3.29,BENIGN
8080,80,TCP,150.29,18,15747,119.76,104768.54,9,7873,874.87,78,1276,16,8.35,BENIGN
8080,8080,TCP,356.71,25,18094,70.08,50723.63,12,8685,723.77,87,958,18,14.27,BENIGN
443,8080,UDP,1785.39,7,6481,3.92,3629.99,4,3703,925.93,99,1133,18,255.06,BENIGN
8080,80,TCP,867.97,6,5951,6.91,6856.18,4,3967,991.84,54,1235,24,144.66,BENIGN
23514,22,TCP,452.19,72,22961,159.23,50777.46,36,11480,318.91,50,500,24,5.76,BruteForce
443,8080,TCP,1160.06,37,27358,31.89,23583.11,20,14788,739.43,41,982,16,31.35,BENIGN
24623,53,TCP,435.44,38,23749,87.27,54538.99,17,10624,624.99,82,940,24,11.46,BENIGN
39220,21,TCP,1349.17,64,13194,47.44,9779.35,32,6597,206.16,50,500,24,12.99,BruteForce
443,80,TCP,957.91,23,15870,24.01,16567.12,14,9660,690.03,44,928,16,41.65,BENIGN
37479,80,TCP,3734.33,1145,118111,306.61,31628.45,1145,118111,103.15,40,120,2,0.52,DDoS
25186,22,TCP,1363.41,24,6987,17.6,5124.67,12,3493,291.15,50,500,24,18.26,BruteForce
28076,3389,TCP,681.58,76,18578,111.51,27257.29,38,9289,244.46,50,500,24,6.24,BruteForce
8080,22,TCP,657.58,32,21947,48.66,33375.02,16,10973,685.87,64,1034,16,20.55,BENIGN
80,8080,TCP,423.15,20,13383,47.26,31626.7,12,8029,669.17,47,807,16,21.16,BENIGN
18294,443,TCP,3921.91,1412,136013,360.03,34680.3,1412,136013,96.33,40,120,2,1.41,DDoS
8080,80,TCP,1262.96,24,25933,19.0,20533.43,14,15127,1080.56,73,1374,2,52.62,BENIGN
53,22,TCP,911.47,40,9721,43.88,10665.03,17,4131,243.05,84,355,16,22.79,BENIGN
33816,80,TCP,56.82,11,9812,193.57,172660.42,6,5352,892.03,85,1372,24,5.17,BENIGN
53,53,TCP,565.81,33,12263,58.32,21673.03,14,5202,371.62,68,529,24,17.15,BENIGN
24494,80,TCP,4268.15,4005,166334,938.35,38970.97,4005,166334,41.53,40,120,2,1.19,DDoS
49264,80,TCP,2580.76,4700,437484,1821.17,169517.49,4700,437484,93.08,40,120,2,0.68,DDoS
6630,22,TCP,439.75,37,11095,84.14,25230.2,18,5547,299.87,50,500,24,23.05,BruteForce
53,443,UDP,1670.04,36,11626,21.56,6961.46,20,6459,322.96,73,425,24,46.39,BENIGN
80,443,TCP,2426.73,39,29083,16.07,11984.4,17,12677,745.73,93,1142,2,62.22,BENIGN
21347,45,TCP,20.19,2,87,99.01,4307.15,2,87,43.87,40,60,0,10.09,PortScan
43852,80,TCP,682.1,33,19976,48.38,29285.7,19,11501,605.33,60,887,2,20.67,BENIGN
443,21,TCP,1971.65,6,3630,3.04,1841.09,4,2420,605.11,85,750,16,328.61,BENIGN
80,21,TCP,94.83,40,20842,421.75,219752.94,21,10942,521.06,86,772,2,2.37,BENIGN
8080,80,TCP,955.62,4,2998,4.19,3137.2,2,1499,749.56,74,945,2,238.9,BENIGN
51148,5635,TCP,49.89,2,106,40.08,2124.12,2,106,53.19,40,60,2,24.95,PortScan
8080,80,TCP,692.6,31,21128,44.76,30504.84,14,9541,681.56,57,902,24,22.34,BENIGN
48541,80,TCP,559.63,3004,158699,5367.84,283578.61,3004,158699,52.83,40,120,2,1.04,DDoS
53,53,TCP,2756.92,49,42858,17.77,15545.55,20,17493,874.65,92,1173,16,56.26,BENIGN
7533,7694,TCP,22.14,1,51,45.14,2302.0,1,51,51.53,40,60,2,22.14,PortScan
443,21,UDP,1160.51,42,14905,36.19,12843.38,25,8872,354.9,44,486,2,27.63,BENIGN
53,80,TCP,205.29,49,14256,238.68,69439.81,27,7855,290.94,43,408,16,4.19,BENIGN
443,53,TCP,452.3,20,8802,44.22,19460.12,12,5281,440.1,64,533,2,22.61,BENIGN
26829,443,TCP,4089.8,4982,555586,1218.15,135846.9,4982,555586,111.52,40,120,2,0.57,DDoS
3714,443,TCP,2698.23,4608,240976,1707.79,89308.91,4608,240976,52.3,40,120,2,0.9,DDoS
80,21,UDP,207.24,40,43454,193.0,209670.43,23,24986,1086.36,47,1703,16,5.18,BENIGN
31588,7826,TCP,10.74,2,116,186.1,10793.85,2,116,58.35,40,60,0,5.37,PortScan
80,22,UDP,719.86,27,8423,37.51,11700.66,16,4991,311.99,87,406,2,26.66,BENIGN
48228,21,TCP,802.92,36,11646,44.84,14504.57,18,5823,323.5,50,500,24,8.66,BruteForce
8590,4671,TCP,47.23,2,107,42.34,2264.95,2,107,53.87,40,60,1,23.62,PortScan
8080,443,TCP,1952.78,22,13091,11.27,6703.73,10,5950,595.07,41,943,16,88.76,BENIGN
8080,22,TCP,1865.27,24,8170,12.87,4380.04,11,3744,340.42,43,526,2,77.72,BENIGN
38380,21,TCP,1458.25,89,21514,61.03,14753.28,44,10757,241.74,50,500,24,7.94,BruteForce
53,53,TCP,4320.8,32,20021,7.41,4633.62,17,10636,625.67,68,862,2,135.02,BENIGN
52563,443,TCP,1608.29,1441,133614,895.98,83078.45,1441,133614,92.72,40,120,2,0.4,DDoS
46430,80,TCP,1868.14,3328,167752,1781.45,89796.45,3328,167752,50.41,40,120,2,0.13,DDoS
50783,4553,TCP,18.88,2,88,105.87,4658.28,2,88,44.3,40,60,1,9.44,PortScan
53,53,UDP,3583.94,41,18919,11.44,5278.81,21,9690,461.45,93,684,24,87.41,BENIGN
80,53,UDP,450.76,49,33999,108.7,75424.66,27,18734,693.86,79,894,18,9.2,BENIGN
53,53,UDP,563.72,41,24838,72.73,44059.85,24,14539,605.82,57,853,18,13.75,BENIGN
80,8080,TCP,377.39,6,3723,15.9,9864.74,3,1861,620.58,91,922,18,62.9,BENIGN
59843,809,TCP,14.49,2,106,137.93,7310.41,2,106,53.42,40,60,0,7.24,PortScan
8080,80,TCP,1971.43,42,33226,21.3,16853.66,24,18986,791.1,62,1194,16,46.94,BENIGN
53,22,TCP,1686.26,13,11993,7.71,7112.13,6,5535,922.57,60,1254,18,129.71,BENIGN
53,21,TCP,645.21,15,15563,23.25,24120.5,7,7262,1037.54,89,1403,2,43.01,BENIGN
80,80,TCP,379.93,41,17648,107.91,46449.67,17,7317,430.44,98,554,16,9.27,BENIGN
443,8080,TCP,483.5,18,12550,37.23,25956.14,10,6972,697.25,48,1052,24,26.86,BENIGN
53,8080,TCP,911.16,22,11303,24.14,12404.97,10,5137,513.8,96,698,16,41.42,BENIGN
55420,7120,TCP,23.14,2,92,86.38,3973.31,2,92,46.3,40,60,0,11.57,PortScan
47311,80,TCP,4389.95,4934,426672,1123.93,97192.92,4934,426672,86.48,40,120,2,1.49,DDoS
8080,22,TCP,1197.73,22,23722,18.37,19805.64,11,11861,1078.28,50,1634,16,54.44,BENIGN
53,22,TCP,1112.87,37,19839,33.25,17826.68,16,8579,536.2,77,726,16,30.08,BENIGN
13229,5556,TCP,12.26,2,88,162.98,7171.07,2,88,44.17,40,60,2,6.13,PortScan
53798,21,TCP,1206.16,58,15986,48.09,13253.63,29,7993,275.62,50,500,24,9.02,BruteForce
3056,80,TCP,2795.67,2381,260882,851.67,93316.53,2381,260882,109.57,40,120,2,0.66,DDoS
33278,80,TCP,3418.88,3005,253546,878.94,74160.65,3005,253546,84.38,40,120,2,1.15,DDoS
443,22,TCP,997.37,14,4275,14.04,4286.24,7,2137,305.36,85,441,18,71.24,BENIGN
443,53,TCP,1517.32,36,24236,23.73,15972.78,19,12791,673.23,49,981,18,42.15,BENIGN
